date,so2_max_du,so2_mean_du,so2_15_du
2022-06-27,2.71569,0.552705,0.169122
2022-06-28,4.46033,1.91644,0.438047
2022-06-29,4.19427,0.811368,0.118742
2022-06-30,2.87237,0.593783,0.144553
2022-07-01,5.16276,1.58977,0.380287
2022-07-02,4.97365,0.852844,0.215024
2022-07-03,1.77198,0.597045,0.15682
2022-07-04,2.37637,0.770147,0.14499
2022-07-05,3.60921,0.606355,0.119205
2022-07-07,7.23315,1.80837,0.582929
2022-07-08,2.23192,0.265734,0.0998391
2022-07-09,1.93008,0.459885,0.129755
2022-07-10,4.20686,1.36584,0.238435
2022-07-11,2.61098,0.956271,0.250957
2022-07-12,3.49397,0.732619,0.181105
2022-07-14,3.08554,0.847194,0.116968
2022-07-15,2.53077,0.321351,0.0576762
2022-07-17,5.36111,1.3272,0.16567
2022-07-18,7.93486,1.76471,0.550845
2022-07-19,5.25881,0.756749,0.2764
2022-07-20,4.58047,0.927362,0.214448
2022-07-21,4.04394,0.679651,0.128457
2022-07-22,2.26931,1.17363,0.120005
2022-07-23,5.54502,1.01363,0.284094
2022-07-24,12.2927,1.90586,0.713839
2022-07-25,4.14689,1.82562,0.441229
2022-07-26,0.62678,0.111838,0.560689
2022-07-27,10.869,2.53253,0.495264
2022-07-28,3.70422,0.440636,0.0214926
2022-07-29,3.62221,0.826458,0.198094
2022-07-30,2.64818,0.685549,0.173784
2022-07-31,3.86984,0.759501,0.150625
2022-08-01,2.48762,0.971404,0.173662
2022-08-02,4.8744,0.881403,0.240012
2022-08-03,6.04664,1.59827,0.506682
2022-08-04,10.8517,1.92849,0.591604
2022-08-05,7.63374,4.59104,0.661665
2022-08-06,5.12656,1.95276,0.268449
2022-08-07,1.92372,0.43029,0.122704
2022-08-08,4.95845,0.974872,0.358549
2022-08-09,6.89388,1.68048,0.588775
2022-08-10,3.34751,0.838274,0.239789
2022-08-11,2.92243,0.44117,0.122789
2022-08-12,3.82947,1.00247,0.295784
2022-08-13,5.41371,1.30442,0.442813
